     up,  right,   down,   left,   code, char, description
 double, double,       ,  light, U+2569,    ╩, box drawings double up and horizontal
 double, double,       ,  heavy, U+2569,    ╩, box drawings double up and horizontal
 double, double,       , double, U+2569,    ╩, box drawings double up and horizontal
 double, double,  light,       , U+2560,    ╠, box drawings double vertical and right
 double, double,  light,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double, double,  light,  heavy, U+253c,    ┼, box drawings light vertical and horizontal
 double, double,  light, double, U+256c,    ╬, box drawings double vertical and horizontal
 double, double,  heavy,       , U+2560,    ╠, box drawings double vertical and right
 double, double,  heavy,  light, U+253c,    ┼, box drawings light vertical and horizontal
 double, double,  heavy,  heavy, U+254b,    ╋, box drawings heavy vertical and horizontal
 double, double,  heavy, double, U+256c,    ╬, box drawings double vertical and horizontal
 double, double, double,       , U+2560,    ╠, box drawings double vertical and right
 double, double, double,  light, U+256c,    ╬, box drawings double vertical and horizontal
 double, double, double,  heavy, U+256c,    ╬, box drawings double vertical and horizontal
 double, double, double, double, U+256c,    ╬, box drawings double vertical and horizontal
